epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9201,1.41649,2.1717,1.18282,0.49242,0.75246,0.54788,0.33029,1.27738,1.21643,1.21538,0.070094,0.00332288,0.00332288
2,126.938,1.33876,1.13305,1.18443,0.58848,0.90151,0.64,0.38474,1.32498,1.1088,1.27604,0.0399623,0.00652442,0.00652442
3,187.639,1.34057,1.01963,1.18391,0.59298,0.92171,0.64549,0.3992,1.24712,0.98194,1.21844,0.00969846,0.00959396,0.00959396
4,247.434,1.31762,0.96419,1.1778,0.60442,0.92294,0.64532,0.40909,1.18631,0.82994,1.21369,0.009406,0.009406,0.009406
5,308.574,1.27115,0.90016,1.15509,0.61417,0.91948,0.64711,0.41563,1.16012,1.1075,1.17486,0.009208,0.009208,0.009208
6,369.534,1.23237,0.85979,1.13289,0.60674,0.94206,0.64766,0.41514,1.15793,0.81598,1.17827,0.00901,0.00901,0.00901
7,432.384,1.22967,0.81312,1.13664,0.62127,0.91017,0.64706,0.41416,1.13542,0.7574,1.16671,0.008812,0.008812,0.008812
8,493.64,1.22749,0.78842,1.13586,0.6128,0.94863,0.65844,0.43008,1.10852,0.76179,1.14766,0.008614,0.008614,0.008614
9,553.188,1.18332,0.76773,1.10883,0.60191,0.97273,0.64844,0.42525,1.08695,0.69909,1.12715,0.008416,0.008416,0.008416
10,610.484,1.17315,0.73787,1.10462,0.6125,0.95152,0.64472,0.41415,1.10102,0.6864,1.13899,0.008218,0.008218,0.008218
11,667.682,1.15737,0.73393,1.10682,0.60751,0.9561,0.67065,0.44272,1.06769,0.6628,1.1151,0.00802,0.00802,0.00802
12,725.348,1.1652,0.70925,1.10407,0.61333,0.95745,0.66199,0.4428,1.02717,0.65617,1.10625,0.007822,0.007822,0.007822
13,782.828,1.13803,0.70061,1.09322,0.61718,0.96522,0.65442,0.43494,1.04881,0.6424,1.11144,0.007624,0.007624,0.007624
14,840.155,1.13979,0.69055,1.09571,0.61298,0.96116,0.64942,0.43344,1.05572,0.65236,1.11227,0.007426,0.007426,0.007426
15,897.778,1.12739,0.67774,1.09049,0.61777,0.96958,0.64299,0.43185,1.0513,0.62733,1.11629,0.007228,0.007228,0.007228
16,954.73,1.11942,0.6583,1.08655,0.61941,0.97109,0.65746,0.44407,1.02169,0.64481,1.09499,0.00703,0.00703,0.00703
17,1011.79,1.12339,0.65403,1.09049,0.62751,0.97246,0.65549,0.44238,1.02026,0.6147,1.09975,0.006832,0.006832,0.006832
18,1069.21,1.09579,0.63867,1.07795,0.62313,0.95457,0.64469,0.43857,1.01154,0.63743,1.09241,0.006634,0.006634,0.006634
19,1125.9,1.11028,0.62952,1.08129,0.62083,0.97536,0.6514,0.45032,1.01444,0.59298,1.08987,0.006436,0.006436,0.006436
20,1183.11,1.10033,0.62284,1.07569,0.62433,0.97621,0.65207,0.44443,1.00787,0.6006,1.08732,0.006238,0.006238,0.006238
21,1240.24,1.10584,0.61566,1.07174,0.6151,0.96928,0.64394,0.44751,0.99392,0.58428,1.07914,0.00604,0.00604,0.00604
22,1297.28,1.08305,0.60964,1.06803,0.63138,0.94631,0.65931,0.4562,0.98733,0.60181,1.08483,0.005842,0.005842,0.005842
23,1354.28,1.07114,0.60056,1.06493,0.61885,0.96998,0.64916,0.44796,0.98287,0.60105,1.07668,0.005644,0.005644,0.005644
24,1411.56,1.06932,0.59062,1.06366,0.62365,0.97893,0.65796,0.45754,0.98064,0.59091,1.07063,0.005446,0.005446,0.005446
25,1469.29,1.05519,0.58919,1.05173,0.62581,0.97368,0.66006,0.46041,0.97545,0.57511,1.07098,0.005248,0.005248,0.005248
26,1526.24,1.05564,0.57857,1.05376,0.61795,0.97563,0.65659,0.45994,0.9625,0.59339,1.06766,0.00505,0.00505,0.00505
27,1583.14,1.05012,0.5792,1.05626,0.63033,0.97637,0.66302,0.46832,0.97103,0.56904,1.06762,0.004852,0.004852,0.004852
28,1639.84,1.0574,0.56756,1.05933,0.63242,0.97504,0.65788,0.46173,0.96547,0.57947,1.06614,0.004654,0.004654,0.004654
29,1696.64,1.05006,0.56949,1.05156,0.63081,0.98142,0.65776,0.46104,0.96859,0.54895,1.069,0.004456,0.004456,0.004456
30,1756.1,1.03204,0.55342,1.04134,0.62979,0.97889,0.65317,0.45983,0.95263,0.55716,1.05496,0.004258,0.004258,0.004258
31,1816.52,1.04671,0.55618,1.05074,0.63054,0.97602,0.65111,0.46121,0.9498,0.57518,1.05462,0.00406,0.00406,0.00406
32,1875.61,1.01581,0.54396,1.04134,0.62429,0.9789,0.63936,0.45007,0.95206,0.54605,1.05475,0.003862,0.003862,0.003862
33,1933.45,1.04044,0.54843,1.05096,0.6296,0.96218,0.6461,0.4573,0.95357,0.55277,1.05661,0.003664,0.003664,0.003664
34,1990.98,1.03051,0.53916,1.04637,0.62818,0.97841,0.65245,0.45879,0.9493,0.56014,1.05682,0.003466,0.003466,0.003466
35,2050.97,1.0153,0.54403,1.03726,0.62913,0.97316,0.65459,0.46266,0.93936,0.55262,1.05293,0.003268,0.003268,0.003268
36,2108.91,1.00879,0.53285,1.03597,0.63224,0.97669,0.66062,0.47264,0.93192,0.53087,1.05006,0.00307,0.00307,0.00307
37,2165.87,1.01513,0.53426,1.03981,0.62975,0.97598,0.6543,0.47072,0.92506,0.54078,1.04274,0.002872,0.002872,0.002872
38,2225.89,0.99949,0.52111,1.03267,0.62729,0.98307,0.65121,0.46216,0.92813,0.54708,1.04839,0.002674,0.002674,0.002674
39,2284.14,1.00291,0.52031,1.0362,0.62778,0.98309,0.65107,0.46243,0.9269,0.52631,1.04191,0.002476,0.002476,0.002476
40,2342.48,0.99641,0.5193,1.03909,0.63066,0.96765,0.66075,0.47332,0.9248,0.52278,1.04627,0.002278,0.002278,0.002278
41,2399.32,0.98613,0.51252,1.04851,0.62994,0.97859,0.64606,0.45667,0.93644,0.53589,1.05319,0.00208,0.00208,0.00208
42,2455.66,0.97061,0.49579,1.03055,0.63114,0.97189,0.65107,0.46421,0.92924,0.5165,1.04455,0.001882,0.001882,0.001882
43,2511.27,0.97285,0.50002,1.03775,0.62977,0.9849,0.6503,0.46178,0.92662,0.5317,1.04594,0.001684,0.001684,0.001684
44,2568.32,0.96477,0.48988,1.03174,0.63351,0.96658,0.64973,0.46552,0.9089,0.52933,1.03857,0.001486,0.001486,0.001486
45,2624.94,0.95109,0.48138,1.02677,0.63036,0.97333,0.65662,0.47384,0.91168,0.51231,1.03701,0.001288,0.001288,0.001288
46,2683.3,0.94049,0.47686,1.02466,0.63166,0.97367,0.65282,0.4704,0.90845,0.50855,1.03464,0.00109,0.00109,0.00109
47,2741.66,0.93529,0.47475,1.02827,0.63593,0.96849,0.65431,0.47093,0.90028,0.50211,1.02904,0.000892,0.000892,0.000892
48,2799.29,0.94083,0.47327,1.01887,0.63712,0.96871,0.65566,0.47373,0.89757,0.49767,1.02955,0.000694,0.000694,0.000694
49,2854.6,0.9306,0.46956,1.01787,0.63066,0.98083,0.65569,0.47283,0.89865,0.50266,1.03077,0.000496,0.000496,0.000496
50,2912.65,0.92598,0.46425,1.01671,0.63563,0.97392,0.65731,0.47609,0.89562,0.49395,1.02989,0.000298,0.000298,0.000298
