epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2304,2.8699,7.75124,3.18063,0.00154,0.95652,0.11555,0.06039,1.85352,3.18911,2.47836,0.0793,0.0023,0.0023
2,15.18,1.57637,1.7282,2.05203,0.85772,0.69565,0.7893,0.52206,1.47726,1.71927,2.16886,0.0576535,0.00465347,0.00465347
3,21.688,1.45636,1.06424,1.92568,0.92897,0.91304,0.96958,0.61791,1.24684,0.8935,1.94871,0.0359594,0.00695942,0.00695942
4,28.0953,1.41681,1.04413,1.92315,0.94214,0.82609,0.96313,0.65394,1.22269,0.87423,1.91329,0.0142179,0.00921785,0.00921785
5,34.5987,1.39391,1.10632,1.90879,0.91558,0.94325,0.97284,0.64817,1.17844,0.78878,1.78797,0.009604,0.009604,0.009604
6,41.0809,1.35468,0.9554,1.80168,0.89206,0.89838,0.96867,0.68109,1.17748,1.38552,1.91736,0.009505,0.009505,0.009505
7,47.5371,1.344,0.97366,1.769,0.93483,0.93547,0.98343,0.65765,1.16174,0.85614,1.87723,0.009406,0.009406,0.009406
8,53.97,1.34891,0.91505,1.78257,0.89588,1,0.97904,0.65794,1.29664,1.09597,1.78834,0.009307,0.009307,0.009307
9,60.4291,1.33722,0.89696,1.85955,0.91326,1,0.98921,0.64982,1.14637,1.12603,1.91614,0.009208,0.009208,0.009208
10,66.901,1.33638,0.87837,1.89348,0.90996,0.97826,0.97535,0.66958,1.18319,0.98384,1.83771,0.009109,0.009109,0.009109
11,73.4398,1.3023,0.86259,1.90089,0.88266,0.97826,0.97294,0.63468,1.24019,0.76255,2.05267,0.00901,0.00901,0.00901
12,79.8573,1.33327,0.86729,1.89339,0.94866,0.91304,0.98387,0.64226,1.41164,0.76587,2.28854,0.008911,0.008911,0.008911
13,86.3019,1.29695,0.82278,1.8724,0.93617,0.9565,0.9822,0.64595,1.32441,0.82627,1.98341,0.008812,0.008812,0.008812
14,92.8621,1.3002,0.80529,1.96472,0.93595,0.95652,0.98558,0.65854,1.14776,0.76231,2.08198,0.008713,0.008713,0.008713
15,99.5134,1.29205,0.8574,1.86284,0.91446,0.97826,0.9809,0.68211,1.18583,0.92822,2.00033,0.008614,0.008614,0.008614
16,106.061,1.25725,0.81164,1.83423,0.98364,0.8913,0.98563,0.68765,1.25285,0.77332,1.96084,0.008515,0.008515,0.008515
17,112.643,1.2626,0.81939,1.89616,0.87297,0.95652,0.97257,0.64261,1.15512,0.74531,1.89019,0.008416,0.008416,0.008416
18,119.148,1.24624,0.80918,1.82665,0.91606,0.95652,0.97911,0.61026,1.1951,0.7175,2.01912,0.008317,0.008317,0.008317
19,125.846,1.23545,0.81602,1.83053,0.98754,0.93478,0.98982,0.66283,1.19952,0.66978,2.06581,0.008218,0.008218,0.008218
20,132.417,1.20348,0.7755,1.83014,0.95964,0.93478,0.9893,0.69596,1.12823,0.72673,1.98239,0.008119,0.008119,0.008119
21,139.21,1.20238,0.79112,1.78341,0.9366,0.96354,0.98774,0.73203,1.13185,0.6524,1.85621,0.00802,0.00802,0.00802
22,146.149,1.22783,0.79401,1.84883,0.98789,0.91304,0.98899,0.71975,1.12933,0.72038,1.89578,0.007921,0.007921,0.007921
23,152.816,1.17693,0.73377,1.81969,0.9772,0.93198,0.98012,0.68866,1.04021,0.68236,2.05795,0.007822,0.007822,0.007822
24,159.574,1.17567,0.72013,1.8251,0.97814,0.97269,0.99105,0.67009,1.20223,0.60667,1.90524,0.007723,0.007723,0.007723
25,166.14,1.17194,0.71709,1.76511,0.97491,0.97826,0.99021,0.6651,1.20018,0.64441,1.82915,0.007624,0.007624,0.007624
26,172.765,1.17532,0.73852,1.76811,0.92235,0.97826,0.99124,0.66027,1.09793,0.69052,1.95442,0.007525,0.007525,0.007525
27,179.397,1.15507,0.70917,1.73485,0.97095,0.93478,0.98866,0.66295,1.11141,0.76825,2.11914,0.007426,0.007426,0.007426
28,186.064,1.17887,0.71217,1.8502,0.9881,0.86957,0.97799,0.65034,1.17329,0.74197,1.97054,0.007327,0.007327,0.007327
29,192.677,1.17187,0.74964,1.75591,0.91462,0.95652,0.98469,0.67989,1.09494,0.63948,1.92455,0.007228,0.007228,0.007228
30,199.306,1.13981,0.69657,1.79779,0.9336,1,0.98918,0.6664,1.15294,0.71799,2.08221,0.007129,0.007129,0.007129
31,206.001,1.14264,0.71129,1.7198,0.99377,0.95652,0.98923,0.7154,1.01198,0.602,2.03556,0.00703,0.00703,0.00703
32,212.803,1.1422,0.71764,1.76911,0.97281,0.93478,0.98056,0.68605,1.1525,0.66203,1.96942,0.006931,0.006931,0.006931
33,219.71,1.12728,0.6949,1.74812,0.91836,0.97826,0.98489,0.65317,1.10057,0.66213,2.00218,0.006832,0.006832,0.006832
34,226.454,1.13872,0.72163,1.75436,0.94218,0.97826,0.99037,0.69278,1.1338,0.6466,1.90975,0.006733,0.006733,0.006733
35,233.302,1.14111,0.70398,1.79038,0.9545,0.95652,0.98643,0.72667,1.09171,0.63096,2.08496,0.006634,0.006634,0.006634
36,239.972,1.07492,0.68101,1.71154,0.95628,0.95119,0.98862,0.71398,1.06807,0.61603,2.0908,0.006535,0.006535,0.006535
37,246.655,1.09658,0.69299,1.77251,0.9354,0.95652,0.97891,0.68636,1.09309,0.71138,1.8217,0.006436,0.006436,0.006436
38,253.53,1.13609,0.7037,1.77843,0.95703,0.96842,0.98774,0.70632,1.1081,0.65284,2.00909,0.006337,0.006337,0.006337
39,260.328,1.11833,0.67206,1.7676,0.93614,0.97826,0.98963,0.70319,1.04807,0.59306,1.88474,0.006238,0.006238,0.006238
40,267.061,1.12565,0.67079,1.80957,0.95346,0.97826,0.9921,0.71252,1.08537,0.58683,1.81756,0.006139,0.006139,0.006139
41,273.888,1.1316,0.69555,1.79465,0.97766,0.95143,0.99096,0.68879,1.05095,0.6486,1.91582,0.00604,0.00604,0.00604
42,280.817,1.09184,0.68059,1.74558,0.95403,0.95652,0.98751,0.74639,1.01132,0.60821,1.85372,0.005941,0.005941,0.005941
43,287.642,1.07134,0.66119,1.76188,0.93705,0.97093,0.98965,0.74217,1.01323,0.64356,1.80317,0.005842,0.005842,0.005842
44,294.447,1.06527,0.65666,1.72103,0.91806,0.97427,0.98757,0.71739,1.02991,0.64565,1.91425,0.005743,0.005743,0.005743
45,301.179,1.10801,0.68711,1.71135,0.95533,0.92997,0.98472,0.71298,0.99968,0.58223,1.8216,0.005644,0.005644,0.005644
46,308.027,1.07472,0.67635,1.7811,0.95528,0.92891,0.96014,0.68754,1.07281,0.65768,1.88568,0.005545,0.005545,0.005545
47,314.851,1.08438,0.66312,1.75156,0.97806,0.96909,0.99291,0.71863,1.09808,0.62722,2.08655,0.005446,0.005446,0.005446
48,321.628,1.02445,0.62995,1.71943,0.95711,0.97043,0.98874,0.72323,1.03376,0.58193,1.97244,0.005347,0.005347,0.005347
49,328.377,1.03345,0.63923,1.69608,0.97776,0.9556,0.98098,0.6927,0.99873,0.55885,1.96898,0.005248,0.005248,0.005248
50,335.462,1.05952,0.62677,1.70578,0.97709,0.92731,0.98639,0.69832,1.00638,0.60166,2.05735,0.005149,0.005149,0.005149
51,342.371,1.03617,0.62062,1.73288,0.95353,0.97826,0.99049,0.71359,1.07532,0.60416,1.88004,0.00505,0.00505,0.00505
52,349.231,1.03799,0.64073,1.64882,0.99974,0.91304,0.97426,0.70508,1.03087,0.64715,1.94396,0.004951,0.004951,0.004951
53,356.091,1.04317,0.64626,1.6442,0.97762,0.9499,0.98818,0.70051,1.1107,0.60651,1.79984,0.004852,0.004852,0.004852
54,362.928,1.02217,0.624,1.67748,0.99472,0.93478,0.97863,0.72051,1.02801,0.64943,1.88665,0.004753,0.004753,0.004753
55,369.707,1.03413,0.63453,1.63093,0.95552,0.93392,0.95668,0.67768,1.05626,0.80058,2.01507,0.004654,0.004654,0.004654
56,376.546,1.06643,0.64973,1.72558,0.96069,0.91304,0.98344,0.70741,0.97733,0.582,1.89151,0.004555,0.004555,0.004555
57,383.394,1.02654,0.6364,1.6737,0.95566,1,0.9933,0.72288,1.01706,0.56626,2.04809,0.004456,0.004456,0.004456
58,390.235,1.00625,0.62888,1.63542,0.98224,0.93478,0.98795,0.74455,0.99857,0.56046,1.96329,0.004357,0.004357,0.004357
59,397.363,1.03617,0.6298,1.66319,0.97542,0.95652,0.99055,0.70899,1.06189,0.58158,2.04105,0.004258,0.004258,0.004258
60,404.115,1.00845,0.61267,1.7115,0.97811,0.97139,0.99086,0.74147,0.96478,0.54477,1.938,0.004159,0.004159,0.004159
61,410.984,0.99657,0.60332,1.63108,0.99841,0.93478,0.98706,0.73634,0.98831,0.61187,1.96595,0.00406,0.00406,0.00406
62,417.901,1.0207,0.60532,1.6727,1,0.95507,0.99226,0.72536,1.03521,0.5518,1.94535,0.003961,0.003961,0.003961
